,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
237,Hawaii,Honolulu,2002,365,360,3,1,1,0,0,152,36,25,12,7,245,16,71,14
239,Hawaii,Honolulu,2003,365,355,8,1,1,0,0,170,35,24,13,11,166,30,125,20
236,Hawaii,Honolulu,2004,366,363,1,0,2,0,0,175,35,23,17,2,197,21,86,43
234,Hawaii,Honolulu,2005,365,351,11,2,1,0,0,168,38,25,3,12,186,28,79,57
233,Hawaii,Honolulu,2006,365,355,9,1,0,0,0,149,34,21,17,30,137,27,53,101
229,Hawaii,Honolulu,2007,365,360,5,0,0,0,0,77,31,21,3,34,122,27,59,120
228,Hawaii,Honolulu,2008,366,355,11,0,0,0,0,98,36,23,0,13,190,13,53,97
227,Hawaii,Honolulu,2009,365,346,18,0,1,0,0,161,45,33,0,3,112,8,222,20
228,Hawaii,Honolulu,2010,365,297,67,0,1,0,0,154,54,38,0,1,84,0,271,9
229,Hawaii,Honolulu,2011,365,266,98,1,0,0,0,101,56,37,0,0,130,1,228,6
223,Hawaii,Honolulu,2012,366,335,31,0,0,0,0,75,48,33,0,0,129,2,230,5
219,Hawaii,Honolulu,2013,365,347,18,0,0,0,0,67,46,30,0,0,141,0,221,3
220,Hawaii,Honolulu,2014,359,348,10,0,1,0,0,195,42,29,2,1,229,4,107,16
220,Hawaii,Honolulu,2015,365,331,34,0,0,0,0,62,49,34,0,1,161,2,185,16
220,Hawaii,Honolulu,2016,366,353,13,0,0,0,0,60,43,31,0,1,282,0,62,21
219,Hawaii,Honolulu,2017,365,342,23,0,0,0,0,91,45,31,1,8,258,41,57,0
219,Hawaii,Honolulu,2018,365,358,7,0,0,0,0,75,41,30,0,2,241,41,74,7
216,Hawaii,Honolulu,2019,365,339,26,0,0,0,0,94,46,29,1,3,262,65,33,1
212,Hawaii,Honolulu,2020,366,355,11,0,0,0,0,92,40,26,0,1,278,35,49,3
200,Hawaii,Honolulu,2021,182,178,4,0,0,0,0,66,40,30,1,1,157,13,9,1
400,Ohio,Hamilton,1980,366,60,151,116,28,11,0,223,154,93,0,106,94,166,0,0
410,Ohio,Hamilton,1981,365,66,123,144,32,0,0,200,149,100,2,61,51,251,0,0
410,Ohio,Hamilton,1982,365,49,136,137,40,3,0,218,156,100,8,65,59,233,0,0
419,Ohio,Hamilton,1983,365,30,120,161,45,9,0,227,161,107,7,92,77,189,0,0
388,Ohio,Hamilton,1984,366,45,144,147,29,1,0,202,146,100,4,64,43,255,0,0
425,Ohio,Hamilton,1985,365,30,125,192,17,1,0,210,139,105,2,34,36,293,0,0
433,Ohio,Hamilton,1986,365,55,124,163,21,2,0,205,140,101,1,41,61,259,0,3
468,Ohio,Hamilton,1987,365,65,152,110,33,5,0,236,153,89,1,69,83,211,0,1
500,Ohio,Hamilton,1988,366,97,148,80,32,9,0,222,161,79,1,86,86,192,0,1
548,Ohio,Hamilton,1989,365,92,161,89,22,1,0,205,137,75,6,70,72,192,0,25
590,Ohio,Hamilton,1990,365,93,126,123,21,2,0,209,139,85,1,78,48,230,0,8
623,Ohio,Hamilton,1991,365,37,79,132,112,5,0,219,195,122,2,19,30,310,0,4
646,Ohio,Hamilton,1992,366,130,143,82,11,0,0,200,126,64,2,96,49,206,0,13
647,Ohio,Hamilton,1993,365,118,154,77,16,0,0,197,129,67,2,75,57,220,0,11
671,Ohio,Hamilton,1994,365,161,125,57,22,0,0,192,123,56,10,108,84,154,0,9
690,Ohio,Hamilton,1995,365,192,127,30,14,2,0,216,114,49,2,141,129,76,0,17
697,Ohio,Hamilton,1996,366,142,141,70,13,0,0,187,122,58,0,135,84,132,0,15
707,Ohio,Hamilton,1997,365,156,129,65,15,0,0,200,125,56,0,149,77,132,0,7
676,Ohio,Hamilton,1998,365,134,166,56,8,1,0,203,119,62,3,132,104,123,0,3
718,Ohio,Hamilton,1999,365,62,233,59,10,1,0,209,115,71,0,34,91,58,182,0
755,Ohio,Hamilton,2000,366,59,239,64,4,0,0,187,113,68,0,22,55,68,221,0
765,Ohio,Hamilton,2001,365,77,205,74,9,0,0,200,123,70,0,17,87,72,189,0
768,Ohio,Hamilton,2002,365,66,218,59,20,2,0,213,131,65,0,16,84,76,189,0
768,Ohio,Hamilton,2003,365,78,232,49,6,0,0,197,109,64,0,29,63,59,214,0
761,Ohio,Hamilton,2004,366,96,208,60,2,0,0,166,111,65,0,31,63,99,173,0
756,Ohio,Hamilton,2005,365,154,138,60,12,1,0,208,126,60,0,95,120,76,74,0
738,Ohio,Hamilton,2006,365,171,150,41,3,0,0,182,104,52,1,82,130,77,73,2
728,Ohio,Hamilton,2007,365,111,190,56,8,0,0,187,120,61,0,35,142,44,144,0
725,Ohio,Hamilton,2008,366,175,153,34,4,0,0,169,101,52,0,35,182,27,122,0
723,Ohio,Hamilton,2009,365,151,206,8,0,0,0,133,79,53,0,10,93,6,255,1
719,Ohio,Hamilton,2010,365,54,279,29,3,0,0,172,97,68,0,2,94,9,260,0
712,Ohio,Hamilton,2011,365,141,180,38,6,0,0,179,108,57,1,6,130,54,173,1
697,Ohio,Hamilton,2012,366,117,215,29,5,0,0,182,100,58,0,0,112,40,214,0
687,Ohio,Hamilton,2013,365,115,241,9,0,0,0,116,78,56,0,2,84,30,249,0
688,Ohio,Hamilton,2014,365,115,234,16,0,0,0,143,85,57,0,31,70,33,231,0
698,Ohio,Hamilton,2015,365,190,169,5,1,0,0,151,77,50,0,46,129,7,183,0
685,Ohio,Hamilton,2016,366,199,155,12,0,0,0,140,74,49,0,34,147,0,185,0
687,Ohio,Hamilton,2017,365,190,170,5,0,0,0,129,70,50,0,20,138,0,207,0
683,Ohio,Hamilton,2018,365,173,184,7,1,0,0,159,74,51,0,23,126,0,216,0
679,Ohio,Hamilton,2019,365,162,197,6,0,0,0,119,77,52,0,7,152,0,206,0
668,Ohio,Hamilton,2020,366,210,149,7,0,0,0,126,70,48,0,14,123,2,227,0
636,Ohio,Hamilton,2021,304,162,137,5,0,0,0,140,77,48,0,9,137,3,155,0
37,California,Los Angeles,1980,366,6,73,81,47,156,3,386,278,168,76,90,199,1,0,0
39,California,Los Angeles,1981,365,4,56,99,46,160,0,300,268,176,71,92,202,0,0,0
39,California,Los Angeles,1982,365,8,83,91,54,129,0,300,265,151,63,126,176,0,0,0
37,California,Los Angeles,1983,365,11,102,80,37,135,0,300,280,143,61,126,177,1,0,0
33,California,Los Angeles,1984,366,5,71,101,52,137,0,300,263,154,70,87,209,0,0,0
37,California,Los Angeles,1985,365,10,82,91,43,139,0,298,268,150,42,108,215,0,0,0
42,California,Los Angeles,1986,365,7,72,92,54,140,0,300,268,156,48,101,216,0,0,0
44,California,Los Angeles,1987,365,6,91,87,52,129,0,293,247,150,42,123,199,1,0,0
44,California,Los Angeles,1988,366,9,65,84,63,145,0,298,255,168,59,91,216,0,0,0
65,California,Los Angeles,1989,365,10,69,110,63,113,0,295,248,150,65,92,206,1,0,1
75,California,Los Angeles,1990,365,17,118,84,57,89,0,276,229,119,58,113,189,2,0,3
78,California,Los Angeles,1991,365,16,117,96,51,84,1,676,233,116,44,139,180,1,0,1
79,California,Los Angeles,1992,366,22,104,92,59,89,0,300,232,122,49,119,197,0,0,1
75,California,Los Angeles,1993,365,29,108,111,45,72,0,284,221,108,40,135,189,0,0,1
76,California,Los Angeles,1994,365,22,124,96,41,82,0,292,221,107,53,146,164,0,0,2
77,California,Los Angeles,1995,365,43,108,109,45,60,0,256,212,107,28,160,173,2,0,2
79,California,Los Angeles,1996,366,42,154,91,47,32,0,247,192,96,42,159,163,0,0,2
79,California,Los Angeles,1997,365,33,171,116,32,13,0,226,154,95,42,153,166,1,0,3
66,California,Los Angeles,1998,365,53,194,72,22,24,0,269,172,78,31,199,127,2,6,0
75,California,Los Angeles,1999,365,17,180,140,27,1,0,203,140,97,14,168,85,3,91,4
80,California,Los Angeles,2000,366,27,164,114,51,10,0,243,159,99,7,95,127,2,133,2
81,California,Los Angeles,2001,365,20,159,127,48,11,0,230,161,101,2,71,146,2,143,1
80,California,Los Angeles,2002,365,34,152,104,53,22,0,241,179,99,4,61,160,0,137,3
82,California,Los Angeles,2003,365,41,154,83,57,30,0,249,197,95,2,57,183,0,123,0
81,California,Los Angeles,2004,366,29,179,87,67,4,0,229,169,90,0,46,173,0,147,0
78,California,Los Angeles,2005,365,57,170,77,49,12,0,238,166,82,2,57,178,1,127,0
78,California,Los Angeles,2006,365,64,172,79,39,11,0,224,161,82,1,63,178,0,121,2
75,California,Los Angeles,2007,365,45,193,91,30,6,0,213,150,81,0,76,168,0,116,5
73,California,Los Angeles,2008,366,31,213,68,46,8,0,227,172,84,0,66,163,1,134,2
73,California,Los Angeles,2009,365,34,213,71,43,4,0,218,156,79,0,31,169,0,159,6
73,California,Los Angeles,2010,365,32,219,99,15,0,0,200,138,76,0,39,170,0,155,1
74,California,Los Angeles,2011,365,17,227,82,36,3,0,218,151,80,0,22,162,0,180,1
69,California,Los Angeles,2012,366,33,203,93,35,2,0,207,151,84,0,23,176,0,165,2
67,California,Los Angeles,2013,365,22,243,75,25,0,0,197,140,77,0,21,176,0,165,3
67,California,Los Angeles,2014,365,24,234,79,26,2,0,205,143,80,0,19,172,0,170,4
67,California,Los Angeles,2015,365,26,207,95,36,1,0,203,151,79,0,25,189,0,149,2
66,California,Los Angeles,2016,366,32,230,81,19,4,0,210,134,75,0,33,174,0,157,2
65,California,Los Angeles,2017,365,38,207,74,38,8,0,224,156,77,0,28,169,0,168,0
66,California,Los Angeles,2018,365,35,222,89,18,1,0,201,130,77,0,32,175,0,157,1
68,California,Los Angeles,2019,365,66,213,57,28,1,0,201,136,71,0,36,197,0,124,8
64,California,Los Angeles,2020,366,60,169,77,44,16,0,235,165,83,0,23,208,0,130,5
59,California,Los Angeles,2021,182,28,127,18,9,0,0,195,122,64,1,9,78,0,90,4
239,Maryland,Montgomery,1980,270,205,20,27,10,8,0,232,133,33,0,70,200,0,0,0
247,Maryland,Montgomery,1981,346,245,61,27,10,3,0,207,108,39,0,89,257,0,0,0
244,Maryland,Montgomery,1982,331,238,55,27,10,1,0,201,101,37,1,10,320,0,0,0
256,Maryland,Montgomery,1983,347,219,87,22,17,2,0,214,108,42,174,0,173,0,0,0
227,Maryland,Montgomery,1984,360,213,117,25,3,2,0,240,93,44,186,0,174,0,0,0
247,Maryland,Montgomery,1985,360,217,99,33,10,1,0,220,112,45,164,0,196,0,0,0
257,Maryland,Montgomery,1986,362,223,94,26,19,0,0,195,119,44,165,0,197,0,0,0
275,Maryland,Montgomery,1987,365,274,54,22,13,2,0,202,101,38,182,0,183,0,0,0
298,Maryland,Montgomery,1988,366,245,68,16,23,14,0,221,154,41,167,0,199,0,0,0
333,Maryland,Montgomery,1989,365,275,69,18,2,1,0,202,80,36,132,0,233,0,0,0
354,Maryland,Montgomery,1990,357,280,51,22,4,0,0,166,90,36,133,0,218,0,0,6
372,Maryland,Montgomery,1991,344,233,62,34,14,1,0,208,119,38,105,0,231,0,0,8
381,Maryland,Montgomery,1992,363,309,37,15,2,0,0,164,64,28,164,0,177,0,0,22
378,Maryland,Montgomery,1993,363,264,60,25,13,1,0,201,105,32,164,0,186,0,0,13
386,Maryland,Montgomery,1994,364,267,64,26,7,0,0,187,97,33,155,0,201,0,0,8
401,Maryland,Montgomery,1995,361,281,45,20,13,2,0,208,97,31,153,0,197,0,0,11
410,Maryland,Montgomery,1996,360,276,55,26,3,0,0,169,93,30,155,0,205,0,0,0
418,Maryland,Montgomery,1997,299,210,50,26,12,1,0,202,112,39,89,0,210,0,0,0
400,Maryland,Montgomery,1998,208,95,55,36,21,1,0,209,151,58,0,0,208,0,0,0
424,Maryland,Montgomery,1999,226,116,65,31,13,1,0,208,122,50,0,0,188,0,38,0
448,Maryland,Montgomery,2000,244,146,81,15,2,0,0,156,92,45,0,0,162,0,82,0
453,Maryland,Montgomery,2001,254,142,76,27,8,1,0,202,108,47,0,0,184,0,70,0
461,Maryland,Montgomery,2002,241,131,74,25,11,0,0,185,112,49,0,0,162,0,79,0
461,Maryland,Montgomery,2003,249,170,68,8,2,1,0,210,87,43,0,0,164,0,85,0
460,Maryland,Montgomery,2004,262,162,78,20,2,0,0,172,93,44,0,0,173,0,89,0
455,Maryland,Montgomery,2005,247,153,78,14,2,0,0,187,93,43,0,0,154,0,93,0
444,Maryland,Montgomery,2006,254,148,84,18,4,0,0,190,100,47,0,0,174,0,80,0
433,Maryland,Montgomery,2007,211,122,68,17,4,0,0,195,100,46,0,0,125,0,86,0
432,Maryland,Montgomery,2008,289,181,89,18,1,0,0,172,87,45,0,0,165,0,124,0
431,Maryland,Montgomery,2009,358,217,138,3,0,0,0,112,68,45,0,0,119,0,239,0
432,Maryland,Montgomery,2010,362,208,130,24,0,0,0,136,90,47,0,0,148,0,214,0
428,Maryland,Montgomery,2011,335,195,126,13,1,0,0,156,77,47,0,0,123,0,212,0
415,Maryland,Montgomery,2012,360,216,137,6,1,0,0,154,74,45,0,0,153,0,207,0
410,Maryland,Montgomery,2013,354,275,78,1,0,0,0,105,63,40,0,0,174,0,180,0
411,Maryland,Montgomery,2014,355,261,94,0,0,0,0,90,61,42,0,0,149,0,206,0
420,Maryland,Montgomery,2015,345,229,111,5,0,0,0,143,67,45,0,0,151,0,194,0
417,Maryland,Montgomery,2016,345,279,66,0,0,0,0,100,57,38,0,0,200,0,145,0
415,Maryland,Montgomery,2017,359,305,52,2,0,0,0,105,56,38,0,0,219,0,140,0
411,Maryland,Montgomery,2018,347,265,81,1,0,0,0,112,59,42,0,0,185,0,162,0
408,Maryland,Montgomery,2019,361,313,48,0,0,0,0,86,52,39,0,0,220,0,141,0
400,Maryland,Montgomery,2020,355,333,22,0,0,0,0,77,45,33,0,0,214,0,141,0
383,Maryland,Montgomery,2021,304,248,53,3,0,0,0,119,61,40,0,0,226,0,78,0
101,Florida,Nassau,1980,16,10,1,4,1,0,0,174,144,36,0,0,0,16,0,0
105,Florida,Nassau,1981,128,128,0,0,0,0,0,29,11,3,0,0,0,128,0,0
101,Florida,Nassau,1982,244,175,36,28,5,0,0,200,114,19,0,0,0,244,0,0
98,Florida,Nassau,1983,365,247,73,37,8,0,0,200,107,29,0,0,0,365,0,0
90,Florida,Nassau,1984,317,185,93,32,7,0,0,177,105,41,0,0,0,317,0,0
102,Florida,Nassau,1985,364,225,89,37,13,0,0,200,107,29,0,0,0,364,0,0
109,Florida,Nassau,1986,315,231,41,33,10,0,0,200,115,21,0,0,0,315,0,0
115,Florida,Nassau,1987,365,259,51,38,17,0,0,200,120,24,0,0,0,365,0,0
126,Florida,Nassau,1988,366,254,59,38,15,0,0,200,112,29,0,0,0,366,0,0
148,Florida,Nassau,1989,365,265,65,29,6,0,0,200,100,30,0,0,0,365,0,0
162,Florida,Nassau,1990,365,237,60,53,15,0,0,200,130,27,0,0,0,365,0,0
165,Florida,Nassau,1991,365,270,52,36,7,0,0,200,105,24,0,0,0,365,0,0
169,Florida,Nassau,1992,366,286,49,27,4,0,0,191,85,21,0,0,0,366,0,0
165,Florida,Nassau,1993,365,285,61,18,1,0,0,154,76,23,0,0,0,332,0,33
170,Florida,Nassau,1994,365,294,39,28,4,0,0,200,81,21,0,0,0,333,0,32
176,Florida,Nassau,1995,365,281,57,23,4,0,0,200,87,21,0,0,0,331,0,34
182,Florida,Nassau,1996,366,293,56,17,0,0,0,123,72,24,0,0,0,330,0,36
184,Florida,Nassau,1997,365,301,50,13,1,0,0,161,74,23,0,0,0,336,0,29
172,Florida,Nassau,1998,364,312,45,7,0,0,0,130,60,14,0,0,0,323,0,41
181,Florida,Nassau,1999,358,306,40,10,2,0,0,200,61,16,0,0,0,315,0,43
187,Florida,Nassau,2000,363,260,68,34,1,0,0,200,99,29,0,0,0,227,0,136
189,Florida,Nassau,2001,365,271,77,17,0,0,0,143,84,31,0,0,0,145,0,220
186,Florida,Nassau,2002,360,251,64,43,2,0,0,200,104,30,0,0,0,158,0,202
188,Florida,Nassau,2003,364,290,63,10,1,0,0,158,71,27,0,0,0,109,0,255
186,Florida,Nassau,2004,356,297,48,9,1,1,0,277,60,25,0,0,0,125,0,231
182,Florida,Nassau,2005,362,296,54,11,1,0,0,175,71,29,0,0,0,159,0,203
181,Florida,Nassau,2006,351,276,49,23,3,0,0,189,92,15,0,0,0,325,0,26
178,Florida,Nassau,2007,350,313,32,4,1,0,0,158,52,13,0,0,0,350,0,0
177,Florida,Nassau,2008,295,271,17,7,0,0,0,132,47,7,0,0,0,295,0,0
179,Florida,Nassau,2009,356,336,17,3,0,0,0,132,37,1,0,0,0,356,0,0
180,Florida,Nassau,2010,363,314,32,11,6,0,0,200,69,6,0,0,0,363,0,0
181,Florida,Nassau,2011,333,284,38,10,1,0,0,154,59,9,0,0,0,333,0,0
175,Florida,Nassau,2012,361,342,17,2,0,0,0,119,37,4,0,0,0,361,0,0
172,Florida,Nassau,2013,365,310,54,1,0,0,0,101,54,33,0,0,0,45,320,0
172,Florida,Nassau,2014,359,295,63,1,0,0,0,105,57,32,0,0,0,113,246,0
172,Florida,Nassau,2015,365,320,45,0,0,0,0,90,53,33,0,0,0,48,317,0
172,Florida,Nassau,2016,336,310,26,0,0,0,0,84,49,31,0,0,0,111,225,0
172,Florida,Nassau,2017,347,291,56,0,0,0,0,93,54,32,0,0,0,83,264,0
174,Florida,Nassau,2018,354,325,27,2,0,0,0,106,48,30,0,0,0,95,259,0
171,Florida,Nassau,2019,351,326,25,0,0,0,0,71,46,28,0,0,0,97,254,0
167,Florida,Nassau,2020,360,348,9,2,1,0,0,157,34,4,0,0,0,322,38,0
156,Florida,Nassau,2021,180,176,4,0,0,0,0,91,20,3,0,0,0,180,0,0
364,New York,Queens,1980,366,144,148,45,16,13,0,278,129,58,11,72,82,201,0,0
371,New York,Queens,1981,365,197,117,35,13,3,0,237,111,47,23,0,127,215,0,0
363,New York,Queens,1982,363,174,138,38,11,2,0,208,107,54,5,0,110,248,0,0
369,New York,Queens,1983,357,133,149,54,14,7,0,224,122,62,0,0,105,252,0,0
341,New York,Queens,1984,362,208,120,30,4,0,0,182,99,46,0,0,124,238,0,0
374,New York,Queens,1985,361,169,146,37,7,2,0,233,105,52,0,0,112,249,0,0
387,New York,Queens,1986,358,204,129,22,2,1,0,202,92,47,0,0,108,250,0,0
419,New York,Queens,1987,356,190,124,30,10,2,0,249,105,49,0,0,132,224,0,0
452,New York,Queens,1988,366,197,129,28,9,3,0,241,101,47,21,0,91,254,0,0
498,New York,Queens,1989,363,201,133,29,0,0,0,149,95,46,40,0,83,235,0,5
527,New York,Queens,1990,362,246,89,16,9,2,0,208,87,38,0,0,173,187,0,2
556,New York,Queens,1991,359,233,91,20,10,5,0,215,100,41,0,0,189,170,0,0
568,New York,Queens,1992,285,223,56,5,1,0,0,197,71,33,0,0,152,133,0,0
566,New York,Queens,1993,349,273,63,12,1,0,0,197,71,34,0,0,186,163,0,0
583,New York,Queens,1994,311,237,59,10,5,0,0,187,85,34,0,0,180,131,0,0
598,New York,Queens,1995,350,303,32,8,6,1,0,204,60,30,0,0,217,133,0,0
609,New York,Queens,1996,357,298,45,12,2,0,0,182,64,33,0,0,230,127,0,0
615,New York,Queens,1997,228,180,27,12,7,2,0,215,90,36,0,0,175,53,0,0
586,New York,Queens,1998,226,144,57,17,8,0,0,182,105,45,0,126,89,11,0,0
624,New York,Queens,1999,365,230,112,13,10,0,0,190,80,45,2,244,73,20,26,0
660,New York,Queens,2000,366,204,147,12,2,1,0,213,79,48,0,229,60,19,58,0
668,New York,Queens,2001,365,181,162,19,3,0,0,192,86,51,0,159,62,21,123,0
675,New York,Queens,2002,365,185,151,21,8,0,0,182,93,50,0,141,71,9,144,0
672,New York,Queens,2003,364,172,175,12,5,0,0,197,84,52,0,145,48,7,164,0
669,New York,Queens,2004,366,201,154,11,0,0,0,143,76,48,0,144,42,5,175,0
666,New York,Queens,2005,365,191,155,15,4,0,0,166,80,49,0,133,67,15,150,0
649,New York,Queens,2006,365,215,136,13,1,0,0,159,75,45,0,130,71,7,157,0
640,New York,Queens,2007,365,194,156,14,1,0,0,154,85,47,0,91,65,2,207,0
638,New York,Queens,2008,366,187,166,11,2,0,0,156,79,50,0,82,80,0,204,0
636,New York,Queens,2009,365,235,128,2,0,0,0,112,71,44,0,81,78,0,206,0
634,New York,Queens,2010,365,228,126,8,3,0,0,169,75,44,0,81,113,0,171,0
629,New York,Queens,2011,365,222,130,10,3,0,0,177,72,46,0,54,131,0,180,0
615,New York,Queens,2012,366,248,104,14,0,0,0,143,69,43,0,51,164,1,150,0
606,New York,Queens,2013,365,254,106,5,0,0,0,133,62,42,0,58,145,0,162,0
607,New York,Queens,2014,365,270,94,1,0,0,0,122,60,41,0,66,134,0,165,0
618,New York,Queens,2015,365,251,109,5,0,0,0,136,68,42,0,73,163,0,129,0
612,New York,Queens,2016,366,286,74,6,0,0,0,143,64,39,0,69,198,0,99,0
610,New York,Queens,2017,365,288,71,5,1,0,0,151,61,39,0,89,158,0,118,0
607,New York,Queens,2018,365,288,69,8,0,0,0,140,60,39,0,66,170,0,129,0
603,New York,Queens,2019,365,292,69,4,0,0,0,119,58,40,0,85,189,0,91,0
592,New York,Queens,2020,366,298,65,3,0,0,0,140,61,38,0,54,211,0,101,0
562,New York,Queens,2021,273,215,49,8,1,0,0,153,71,40,0,30,156,1,86,0
302,Missouri,Saint Louis,1980,358,52,134,119,40,13,0,242,166,97,9,59,136,154,0,0
309,Missouri,Saint Louis,1981,365,79,174,96,13,3,0,230,129,74,19,83,82,181,0,0
304,Missouri,Saint Louis,1982,365,71,152,123,16,3,0,221,129,87,6,47,67,245,0,0
310,Missouri,Saint Louis,1983,365,56,145,115,31,18,0,268,171,95,13,20,120,212,0,0
283,Missouri,Saint Louis,1984,366,59,163,111,23,10,0,257,147,87,10,20,102,234,0,0
305,Missouri,Saint Louis,1985,365,56,184,106,14,5,0,219,129,80,5,24,81,255,0,0
314,Missouri,Saint Louis,1986,365,61,166,118,15,5,0,243,129,83,5,29,76,255,0,0
345,Missouri,Saint Louis,1987,365,54,180,97,24,10,0,259,149,82,7,30,94,234,0,0
372,Missouri,Saint Louis,1988,366,77,161,95,21,12,0,240,147,79,4,47,113,201,0,1
408,Missouri,Saint Louis,1989,365,53,190,101,19,2,0,220,133,82,1,30,81,251,0,2
432,Missouri,Saint Louis,1990,365,71,168,107,18,1,0,202,131,81,4,31,59,271,0,0
457,Missouri,Saint Louis,1991,365,77,172,86,27,3,0,204,146,77,4,33,94,233,0,1
466,Missouri,Saint Louis,1992,366,93,195,66,11,1,0,207,115,70,2,66,80,218,0,0
464,Missouri,Saint Louis,1993,365,154,151,57,1,2,0,203,106,57,1,81,92,191,0,0
474,Missouri,Saint Louis,1994,365,123,166,56,15,5,0,227,126,62,4,78,118,165,0,0
486,Missouri,Saint Louis,1995,365,156,140,44,24,1,0,208,122,55,0,91,114,159,0,1
499,Missouri,Saint Louis,1996,366,171,138,51,5,1,0,203,109,54,3,89,113,160,0,1
508,Missouri,Saint Louis,1997,365,188,129,41,7,0,0,193,108,49,2,114,109,138,0,2
486,Missouri,Saint Louis,1998,365,192,118,46,8,1,0,220,115,50,3,118,122,119,0,3
523,Missouri,Saint Louis,1999,365,153,156,42,13,1,0,214,115,55,0,88,114,108,55,0
551,Missouri,Saint Louis,2000,366,177,157,26,6,0,0,182,93,51,1,117,99,72,76,1
554,Missouri,Saint Louis,2001,365,192,137,29,7,0,0,164,100,49,0,96,140,68,61,0
558,Missouri,Saint Louis,2002,365,164,152,27,19,3,0,209,112,54,1,63,132,47,122,0
559,Missouri,Saint Louis,2003,365,148,181,30,3,3,0,202,100,55,0,42,116,42,165,0
561,Missouri,Saint Louis,2004,366,163,195,8,0,0,0,143,84,53,0,28,103,55,178,2
557,Missouri,Saint Louis,2005,365,181,130,43,10,1,0,203,115,51,0,68,164,40,89,4
541,Missouri,Saint Louis,2006,365,174,163,23,5,0,0,182,94,52,0,40,144,19,162,0
528,Missouri,Saint Louis,2007,365,125,202,25,13,0,0,195,101,58,0,12,128,11,214,0
526,Missouri,Saint Louis,2008,366,159,203,4,0,0,0,126,77,53,0,5,91,14,256,0
527,Missouri,Saint Louis,2009,365,161,200,4,0,0,0,115,73,53,0,7,84,9,264,1
526,Missouri,Saint Louis,2010,365,175,174,16,0,0,0,133,83,51,0,1,144,5,207,8
522,Missouri,Saint Louis,2011,365,204,143,15,3,0,0,164,84,48,0,0,150,0,212,3
507,Missouri,Saint Louis,2012,366,185,138,32,11,0,0,172,105,50,0,0,156,0,194,16
500,Missouri,Saint Louis,2013,365,203,158,4,0,0,0,150,70,48,0,0,131,0,233,1
503,Missouri,Saint Louis,2014,365,230,130,5,0,0,0,145,71,44,0,0,143,0,207,15
514,Missouri,Saint Louis,2015,365,242,118,5,0,0,0,119,64,44,0,32,128,0,204,1
510,Missouri,Saint Louis,2016,366,270,89,7,0,0,0,136,65,40,0,38,165,0,163,0
509,Missouri,Saint Louis,2017,365,248,116,1,0,0,0,147,64,45,0,19,187,1,158,0
506,Missouri,Saint Louis,2018,365,243,116,6,0,0,0,119,71,44,0,26,175,0,164,0
502,Missouri,Saint Louis,2019,365,264,98,3,0,0,0,143,65,43,0,8,180,0,177,0
493,Missouri,Saint Louis,2020,366,287,73,6,0,0,0,144,61,40,0,25,199,2,140,0
474,Missouri,Saint Louis,2021,273,218,52,3,0,0,0,126,59,41,0,11,177,1,84,0
